organizations	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	first_publication_year	last_year	age	global_citations_per_year	local_citations_per_year	global_citations_per_document	local_citations_per_document	h_index	g_index	m_index	counters
Palestine Tech Univ-Kadoorie (PSE)	85	79	82	1	20	0	2023	2025	3	6.666666666666667	0.0	20.0	0.0	1	1	0.33	Palestine Tech Univ-Kadoorie (PSE) 1:020
Univ of Žilina (SVK)	86	80	24	1	19	1	2022	2025	4	4.75	0.25	19.0	1.0	1	1	0.25	Univ of Žilina (SVK) 1:019
[UKN] Dept of Macro and Microeconomics, Fac of Manag Sci and Informatics, Žilina, 010 26, Slovakia (SVK)	87	81	25	1	19	1	2022	2025	4	4.75	0.25	19.0	1.0	1	1	0.25	[UKN] Dept of Macro and Microeconomics, Fac of Manag Sci and Informatics, Žilina, 010 26, Slovakia (SVK) 1:019
[UKN] Dept of Mathematical Methods and Operations Res, Fac of Manag Sci and Informatics, Žilina, 010 26, Slovakia (SVK)	88	82	26	1	19	1	2022	2025	4	4.75	0.25	19.0	1.0	1	1	0.25	[UKN] Dept of Mathematical Methods and Operations Res, Fac of Manag Sci and Informatics, Žilina, 010 26, Slovakia (SVK) 1:019
Abdullah Gül Univ (TUR)	89	83	83	1	18	0	2023	2025	3	6.0	0.0	18.0	0.0	1	1	0.33	Abdullah Gül Univ (TUR) 1:018
Alexandru Ioan Cuza Univ of Iasi (ROU)	90	84	84	1	18	0	2023	2025	3	6.0	0.0	18.0	0.0	1	1	0.33	Alexandru Ioan Cuza Univ of Iasi (ROU) 1:018
Open Univ (NLD)	91	85	85	1	18	0	2023	2025	3	6.0	0.0	18.0	0.0	1	1	0.33	Open Univ (NLD) 1:018
Uppsala Univ (SWE)	92	86	86	1	18	0	2023	2025	3	6.0	0.0	18.0	0.0	1	1	0.33	Uppsala Univ (SWE) 1:018
[UKN] Dept of Civ Eng and Energy Technol, OsloMet, Pilestredet 32, Oslo, 0166, Norway (NOR)	93	87	87	1	18	0	2023	2025	3	6.0	0.0	18.0	0.0	1	1	0.33	[UKN] Dept of Civ Eng and Energy Technol, OsloMet, Pilestredet 32, Oslo, 0166, Norway (NOR) 1:018
Res Inst of Humanity and Nature (JPN)	94	89	89	1	15	0	2021	2025	5	3.0	0.0	15.0	0.0	1	1	0.2	Res Inst of Humanity and Nature (JPN) 1:015
Space Technol Inst (VNM)	95	90	90	1	15	0	2021	2025	5	3.0	0.0	15.0	0.0	1	1	0.2	Space Technol Inst (VNM) 1:015
Inha Univ (KOR)	96	91	91	1	14	0	2022	2025	4	3.5	0.0	14.0	0.0	1	1	0.25	Inha Univ (KOR) 1:014
Korea Inst of Sci and Technol (KOR)	97	92	92	1	14	0	2022	2025	4	3.5	0.0	14.0	0.0	1	1	0.25	Korea Inst of Sci and Technol (KOR) 1:014
Korea Univ (KOR)	98	93	93	1	14	0	2022	2025	4	3.5	0.0	14.0	0.0	1	1	0.25	Korea Univ (KOR) 1:014
Univ of Auckland (NZL)	99	94	94	1	14	0	2019	2025	7	2.0	0.0	14.0	0.0	1	1	0.14	Univ of Auckland (NZL) 1:014
Univ of British Columbia (CAN)	100	97	97	1	10	0	2022	2025	4	2.5	0.0	10.0	0.0	1	1	0.25	Univ of British Columbia (CAN) 1:010
